url_length,num_dots,has_https,has_ip,num_subdirs,num_params,suspicious_words,tld,special_char_count,digits_count,entropy,label
18,1,1,0,0,0,0,0,4,0,3.5724,0
19,1,1,0,0,0,0,2,4,0,3.5111,0
22,2,1,0,0,0,0,0,5,0,3.6635,0
21,1,1,0,0,0,0,3,4,0,3.5585,0
23,2,1,0,0,0,0,2,5,0,3.6212,0
26,2,1,0,0,0,0,4,5,0,3.7483,0
33,3,1,0,0,0,0,5,6,0,3.9573,0
18,1,1,0,0,0,0,6,4,0,3.6144,0
16,1,1,0,0,0,0,7,4,0,3.75,0
29,2,1,0,0,0,1,8,5,0,3.9523,0
27,1,1,0,0,0,0,10,4,0,3.838,0
33,2,1,0,0,0,1,11,5,0,3.8967,0
27,2,1,0,0,0,1,12,5,0,3.8101,0
20,1,1,0,0,0,0,13,4,0,3.7842,0
17,1,1,0,0,0,0,14,4,0,3.6169,0
24,2,1,0,0,0,0,15,5,0,3.7721,0
29,1,1,0,0,0,0,16,4,0,3.7975,0
18,1,1,0,0,0,0,6,4,0,3.5724,0
22,2,1,0,0,0,0,18,5,0,3.7888,0
29,3,1,0,0,0,0,19,6,0,4.0473,0
24,2,1,0,0,0,0,20,5,0,3.5739,0
25,2,1,0,0,0,0,21,5,0,3.6693,0
27,2,1,0,0,0,0,22,5,0,3.9121,0
22,2,1,0,0,0,0,23,5,0,3.6069,0
23,1,1,0,0,0,0,24,4,0,3.969,0
16,1,1,0,0,0,0,25,4,0,3.75,0
40,4,1,0,0,0,0,26,7,0,4.0751,0
18,1,1,0,0,0,0,27,4,1,3.8366,0
25,1,1,0,0,0,1,28,4,0,3.9737,0
39,3,1,0,0,0,0,29,7,0,4.0604,0
37,2,1,0,0,0,0,30,5,0,3.9927,0
17,1,1,0,0,0,0,31,4,0,3.5725,0
23,1,1,0,0,0,0,32,4,0,3.8492,0
22,2,1,0,0,0,1,11,5,0,3.914,0
25,2,1,0,0,0,0,33,5,0,3.7835,0
31,2,1,0,0,0,1,34,5,0,4.0266,0
21,1,1,0,0,0,1,35,4,0,3.6897,0
25,2,1,0,0,0,0,36,5,0,4.0537,0
43,2,1,0,0,0,0,37,6,0,4.0605,0
15,1,1,0,0,0,0,38,4,0,3.3736,0
28,1,1,0,0,0,0,39,4,0,3.7979,0
32,2,1,0,0,0,0,39,5,0,3.9056,0
26,2,1,0,0,0,0,9,5,0,3.8731,0
28,2,1,0,0,0,0,21,5,0,3.8963,0
20,1,1,0,0,0,0,40,4,0,3.7842,0
23,2,1,0,0,0,0,41,5,0,3.7951,0
16,1,1,0,0,0,0,42,4,1,3.5778,0
