iter	Passed	Remaining
0	147	44042
1	162	24280
2	176	17450
3	187	13876
4	196	11585
5	203	9954
6	208	8722
7	212	7770
8	217	7025
9	221	6435
10	226	5943
11	230	5534
12	235	5191
13	238	4878
14	243	4622
15	247	4388
16	251	4191
17	256	4015
18	260	3854
19	264	3706
20	269	3579
21	273	3461
22	278	3354
23	282	3252
24	287	3161
25	291	3076
26	295	2991
27	300	2920
28	305	2852
29	309	2787
30	314	2726
31	318	2666
32	322	2610
33	327	2560
34	331	2510
35	335	2463
36	339	2414
37	344	2372
38	348	2329
39	352	2291
40	356	2254
41	361	2218
42	364	2180
43	368	2144
44	373	2114
45	377	2086
46	382	2059
47	388	2038
48	393	2013
49	397	1985
50	400	1957
51	405	1931
52	409	1909
53	414	1887
54	418	1864
55	422	1841
56	426	1818
57	430	1796
58	434	1774
59	438	1753
60	442	1733
61	447	1716
62	451	1696
63	455	1680
64	459	1662
65	463	1643
66	467	1624
67	470	1605
68	475	1590
69	478	1573
70	482	1554
71	485	1537
72	489	1520
73	492	1505
74	496	1488
75	499	1472
76	503	1456
77	506	1441
78	509	1425
79	513	1411
80	516	1397
81	520	1382
82	523	1369
83	527	1355
84	530	1342
85	534	1329
86	537	1316
87	541	1304
88	545	1292
89	548	1280
90	552	1267
91	555	1256
92	560	1246
93	563	1235
94	567	1223
95	570	1212
96	573	1200
97	577	1189
98	580	1179
99	584	1169
100	588	1160
101	592	1150
102	595	1139
103	599	1129
104	602	1119
105	606	1110
106	610	1100
107	614	1092
108	617	1082
109	621	1073
110	624	1063
111	628	1054
112	631	1045
113	635	1036
114	638	1027
115	642	1018
116	645	1010
117	649	1002
118	653	993
119	656	984
120	660	976
121	663	968
122	666	959
123	670	951
124	673	942
125	676	934
126	680	926
127	683	918
128	687	910
129	691	903
130	695	896
131	698	888
132	701	881
133	705	873
134	708	865
135	711	858
136	715	851
137	718	843
138	722	836
139	725	829
140	728	822
141	732	814
142	735	807
143	739	800
144	742	793
145	745	786
146	749	780
147	753	773
148	756	766
149	760	760
150	764	753
151	767	747
152	770	740
153	774	734
154	777	727
155	781	721
156	784	714
157	788	708
158	792	702
159	795	696
160	798	689
161	802	683
162	805	677
163	809	671
164	812	665
165	816	658
166	819	652
167	823	646
168	826	640
169	829	634
170	833	629
171	837	623
172	841	617
173	844	611
174	847	605
175	851	599
176	854	594
177	858	588
178	861	582
179	865	576
180	868	571
181	872	565
182	875	559
183	879	554
184	882	548
185	885	542
186	889	537
187	892	531
188	896	526
189	899	520
190	902	515
191	906	509
192	909	504
193	913	498
194	916	493
195	919	488
196	923	482
197	926	477
198	930	472
199	933	466
200	937	461
201	940	456
202	943	450
203	947	445
204	950	440
205	954	435
206	957	430
207	961	425
208	964	420
209	968	414
210	971	409
211	975	404
212	978	399
213	982	394
214	985	389
215	989	384
216	992	379
217	996	374
218	999	369
219	1003	365
220	1007	360
221	1011	355
222	1014	350
223	1018	345
224	1021	340
225	1025	335
226	1028	330
227	1032	325
228	1035	321
229	1039	316
230	1042	311
231	1045	306
232	1049	301
233	1053	297
234	1056	292
235	1060	287
236	1064	282
237	1068	278
238	1071	273
239	1075	268
240	1079	264
241	1083	259
242	1087	255
243	1090	250
244	1094	245
245	1098	241
246	1101	236
247	1104	231
248	1108	226
249	1111	222
250	1115	217
251	1118	213
252	1122	208
253	1125	203
254	1129	199
255	1132	194
256	1135	190
257	1139	185
258	1143	181
259	1147	176
260	1150	171
261	1153	167
262	1157	162
263	1160	158
264	1164	153
265	1168	149
266	1171	144
267	1175	140
268	1179	135
269	1182	131
270	1185	126
271	1189	122
272	1192	117
273	1196	113
274	1199	109
275	1203	104
276	1207	100
277	1210	95
278	1214	91
279	1218	87
280	1221	82
281	1224	78
282	1228	73
283	1231	69
284	1235	65
285	1238	60
286	1241	56
287	1245	51
288	1249	47
289	1252	43
290	1255	38
291	1259	34
292	1262	30
293	1265	25
294	1269	21
295	1272	17
296	1276	12
297	1279	8
298	1283	4
299	1286	0
