iter	Passed	Remaining
0	87	8646
1	90	4438
2	93	3025
3	96	2326
4	99	1896
5	103	1618
6	107	1422
7	110	1274
8	114	1160
9	118	1065
10	121	985
11	125	922
12	129	866
13	132	815
14	136	774
15	140	735
16	143	700
17	146	667
18	149	636
19	152	608
20	155	584
21	159	565
22	163	547
23	167	529
24	170	511
25	173	493
26	176	478
27	179	462
28	183	448
29	186	435
30	190	423
31	194	413
32	198	402
33	203	394
34	208	386
35	211	375
36	214	366
37	217	355
38	222	347
39	225	337
40	228	328
41	231	319
42	235	312
43	238	303
44	241	295
45	245	287
46	248	280
47	251	272
48	255	265
49	259	259
50	262	252
51	266	246
52	270	239
53	274	233
54	277	227
55	281	221
56	285	215
57	289	209
58	292	203
59	296	197
60	300	191
61	303	185
62	306	180
63	310	174
64	313	169
65	317	163
66	321	158
67	324	152
68	328	147
69	331	142
70	335	136
71	339	132
72	343	127
73	347	122
74	351	117
75	355	112
76	358	107
77	361	102
78	365	97
79	368	92
80	371	87
81	375	82
82	378	77
83	382	72
84	386	68
85	390	63
86	394	58
87	397	54
88	401	49
89	405	45
90	409	40
91	412	35
92	416	31
93	420	26
94	424	22
95	428	17
96	432	13
97	435	8
98	440	4
99	444	0
