url_length,num_dots,has_https,has_ip,num_subdirs,num_params,suspicious_words,tld,special_char_count,digits_count,entropy,label
38,1,0,0,4,0,0,309,1,0,4.260828171224455,1
52,2,1,0,3,1,0,319,1,2,4.519976679963127,1
145,4,0,1,10,0,0,185,8,37,5.150830133056658,1
46,2,1,0,3,0,0,263,1,9,4.259671401982716,1
85,3,0,0,4,1,0,288,2,5,4.866925096598827,1
47,3,0,0,3,0,0,440,0,0,4.39226564990975,1
149,4,0,1,10,0,0,185,7,27,5.052181105497131,1
36,2,1,0,3,0,0,309,0,9,4.461320140211008,1
37,3,0,0,3,0,0,309,0,2,3.992708770800467,1
33,4,0,1,3,0,0,248,0,15,4.051821770808045,1
27,4,0,1,3,0,0,239,0,9,3.81008102052173,1
28,3,0,1,3,0,0,59,0,15,3.824862957617357,1
36,2,1,0,4,0,0,309,0,0,3.9959065984842455,1
89,4,0,0,4,0,0,442,4,12,4.629443824732671,1
41,6,0,1,3,0,0,141,0,23,3.594608713459696,1
31,4,0,1,3,0,0,235,0,8,3.977916874693636,1
41,6,0,1,3,0,0,21,0,23,3.5557397367905907,1
27,3,0,1,3,0,0,82,0,14,3.500283688055053,1
30,3,0,1,3,0,0,144,0,17,3.5898980954642874,1
34,4,0,1,3,0,0,34,0,16,3.81924473893376,1
35,4,0,1,3,0,0,86,0,17,3.95729587384057,1
33,4,0,1,3,0,0,53,0,15,3.775475847209144,1
79,5,1,0,3,0,0,309,2,11,4.718231622022908,1
33,3,1,0,3,0,0,469,1,8,4.0060710131011685,1
165,2,1,0,7,3,0,309,6,21,5.6777375941046095,1
39,3,1,0,3,1,0,469,1,1,4.336182987871124,1
34,4,0,1,4,0,0,196,0,12,4.146286370662104,1
46,4,0,1,4,0,0,105,0,25,3.6802144012859,1
167,2,1,0,7,3,0,309,6,19,5.568112622854751,1
64,3,1,0,3,0,1,319,1,22,4.654078664259099,1
38,3,1,0,3,0,0,469,3,6,4.326360407952694,1
75,4,0,1,7,0,0,145,6,29,4.60172502566912,1
42,3,1,0,3,1,0,469,2,5,4.474952541517312,1
29,3,0,1,3,0,0,85,0,16,3.7193758224153695,1
94,3,1,0,7,0,0,309,4,17,4.87579669877525,1
51,4,1,1,5,0,0,110,0,15,4.53763508744351,1
81,3,1,0,8,0,0,309,1,4,4.540803405194606,1
167,2,1,0,7,3,0,309,7,23,5.474641721810219,1
29,3,0,1,3,0,0,161,0,16,3.784897702756408,1
30,3,0,1,3,0,0,12,0,17,3.898068512058839,1
33,2,1,0,3,0,0,309,0,0,4.294246013232288,1
42,4,0,1,4,0,0,54,0,13,4.318045625665338,1
90,4,0,1,4,0,0,179,0,46,4.298807609794995,1
131,2,1,0,7,0,0,309,3,14,5.622659643136879,1
131,2,1,0,7,0,0,309,3,11,5.512638800779747,1
28,3,0,1,3,0,0,2,0,12,3.770942421748537,1
38,3,1,0,3,0,0,469,0,5,4.5041206053780485,1
31,1,1,0,3,1,0,309,1,1,4.079376456233206,1
175,2,1,0,7,3,0,309,13,12,5.570617149796252,1
39,2,1,0,3,0,0,263,0,16,4.355539077670187,1
33,4,0,1,3,0,0,198,0,15,4.051821770808045,1
175,2,1,0,7,3,0,309,7,17,5.608274809600726,1
83,3,1,0,3,0,0,394,0,10,4.85921367799602,1
54,3,0,0,4,0,0,442,4,11,4.661932872373582,1
130,3,1,0,4,3,0,309,3,6,5.304051128848286,1
32,3,0,1,3,0,0,10,1,12,4.390319531114783,1
22,3,0,1,3,0,0,90,0,9,3.663532754804255,1
46,4,0,1,4,0,0,100,1,15,4.333238314705634,1
1123,3,0,0,7,1,0,309,1,215,4.782140790631653,1
27,3,0,1,3,0,0,133,0,14,3.754163427768881,1
26,3,0,1,3,0,0,209,0,13,3.5364142371222305,1
123,4,0,1,7,0,0,185,6,26,5.194677925325163,1
28,3,0,1,3,0,0,237,0,15,3.424174352300441,1
88,4,0,0,4,0,0,442,4,12,4.679190535170278,1
59,2,1,0,3,0,0,309,3,6,4.833926049685109,1
29,1,1,0,4,0,0,442,0,1,3.978333581185264,1
32,4,0,1,3,0,0,177,0,14,3.991729296672175,1
75,4,0,1,7,0,0,150,6,29,4.509770399639257,1
30,4,0,1,3,0,0,185,0,10,3.989898095464288,1
173,2,1,0,7,3,0,309,7,19,5.524276983103625,1
45,3,0,0,3,0,0,309,0,6,4.502312540485657,1
68,3,0,0,3,0,0,528,0,3,4.391871297924636,1
