iter	Logloss
0	0.6832713771
1	0.6735803484
2	0.6640769088
3	0.6547477468
4	0.6455635016
5	0.6365319893
6	0.6277225151
7	0.6190747653
8	0.6105870806
9	0.60225456
10	0.5940281663
11	0.5859912836
12	0.5781067156
13	0.570368182
14	0.5627629442
15	0.5552445109
16	0.5479097447
17	0.5407001199
18	0.5336040883
19	0.5266455925
20	0.5198081099
21	0.5130358113
22	0.5064283281
23	0.4998813236
24	0.4934897783
25	0.4871604821
26	0.4809800455
27	0.4748976143
28	0.4688658164
29	0.4629756875
30	0.4571783092
31	0.4514708206
32	0.4458475856
33	0.4403113089
34	0.4348545204
35	0.4294298281
36	0.4240825701
37	0.4188117195
38	0.4136145903
39	0.4084871879
40	0.4034635301
41	0.3985858237
42	0.3937729736
43	0.3889823699
44	0.3842999827
45	0.3796825025
46	0.3750850912
47	0.3705954811
48	0.3661235505
49	0.3617555116
50	0.3574076092
51	0.3531616375
52	0.3489546164
53	0.3447849229
54	0.3406747393
55	0.3366231529
56	0.3326281302
57	0.3286905401
58	0.3248092474
59	0.3209835459
60	0.3172129853
61	0.3134968318
62	0.3098464528
63	0.3062736556
64	0.3027516448
65	0.2992812251
66	0.2958367223
67	0.2924300411
68	0.2890742755
69	0.2857698
70	0.2824655573
71	0.2792079536
72	0.2760143001
73	0.2728472302
74	0.2697246718
75	0.266645926
76	0.2636249672
77	0.2606278483
78	0.2576856992
79	0.2547679213
80	0.2518872739
81	0.2490436849
82	0.2462354496
83	0.2434923751
84	0.2407638935
85	0.2380560357
86	0.2353801707
87	0.2327347365
88	0.2301193838
89	0.2275420324
90	0.2249820443
91	0.2224744877
92	0.220042431
93	0.2176179992
94	0.2152357618
95	0.2128633767
96	0.2105165796
97	0.2081955411
98	0.2059004113
99	0.2036430332
